,Abstract,Title
885,"This paper describes the status of the 2004 edition of the HITRAN molecular spectroscopic database. The HITRAN compilation consists of several components that serve as input for radiative transfer calculation codes: individual line parameters for the microwave through visible spectra of molecules in the gas phase; absorption cross-sections for molecules having dense spectral features, i.e., spectra in which the individual lines are unresolvable; individual line parameters and absorption cross-sections for bands in the ultra-violet; refractive indices of aerosols; tables and files of general properties associated with the database; and database management software. The line-by-line portion of the database contains spectroscopic parameters for 39 molecules including many of their isotopologues. The format of the section of the database on individual line parameters of HITRAN has undergone the most extensive enhancement in almost two decades. It now lists the Einstein A-coefficients, statistical weights of the upper and lower levels of the transitions, a better system for the representation of quantum identifications, and enhanced referencing and uncertainty codes. In addition, there is a provision for making corrections to the broadening of line transitions due to line mixing.",The HITRAN 2004 molecular spectroscopic database
886,"Recent years have witnessed dramatic progress in our understanding of how turbulence arises and transports angular momentum in astrophysical accretion disks. The key conceptual point has its origins in work dating from the 1950s, but its implications have been fully understood only in the last several years: the combination of a subthermal magnetic field (any nonpathological configuration will do) and outwardly decreasing differential rotation rapidly generates magnetohydrodynamic (MHD) turbulence via a remarkably simple linear instability. The result is a greatly enhanced effective viscosity, the origin of which had been a long-standing problem. The MHD nature of disk turbulence has linked two broad domains of magnetized fluid research: accretion theory and dynamos. The understanding that weak magnetic fields are not merely passively acted upon by turbulence, but actively generate it, means that the assumptions of classical dynamo theory break down in disks. Paralleling the new conceptual understanding has been the development of powerful numerical MHD codes. These have taught us that disks truly are turbulent, transporting angular momentum at greatly enhanced rates. We have also learned, however, that not all forms of disk turbulence do this. Purely hydrodynamic turbulence, when it is imposed, simply causes fluctuations without a significant increase in transport. The interplay between numerical simulation and analytic arguments has been particularly fruitful in accretion disk theory and is a major focus of this article. The authors conclude with a summary of what is now known of disk turbulence and mention some knotty outstanding questions (e.g., what is the physics behind nonlinear field saturation?) for which we may soon begin to develop answers.","Instability, turbulence, and enhanced transport in accretion disks"
887,"The cooling functions for a plasma slab are investigated under equilibrium and nonequilibrium conditions, over a range of 10 exp 4 - 10 exp 8.5 K and for a range of abundances. Radiative transfer and diffuse field are calculated in the isobaric nonequilibrium models using a one-dimensional cooling flow model, and the plasma is not assumed to be optically thin to all radiation. Limiting cases of the plasma diffuse field coupling are calculated, and the resulting cooling functions are presented. Some functions are terminated before reaching 10 exp 4 K when the internal photoionization halts the cooling. The functions represent a self-consistent set of curves covering a wide grid of temperature and metallicities using recently published atomic data and processes. The results have implications for phenomena such as cooling flows and for hydrodynamic modeling which include gas components.",Cooling Functions for Low-Density Astrophysical Plasmas
888,The basic structure of the program system TURBOMOLE for SCF - including first and second analytical derivatives with respect to nuclear coordinates - and MP2 calculations is briefly described. The program takes full advantage of all discrete point group symmetries and has only modest - and (partially) adjustable - I/O and background storage requirements. The performance of TURBOMOLE is documented for demonstrative applications.,Electronic structure calculations on workstation computers: The program system turbomole
889,"If two separated observers are supplied with entanglement, in the form of n pairs of particles in identical partly entangled pure states, one member of each pair being given to each observer, they can, by local actions of each observer, concentrate this entanglement into a smaller number of maximally entangled pairs of particles, for example, Einstein-Podolsky-Rosen singlets, similarly shared between the two observers. The concentration process asymptotically conserves entropy of entanglement-the von Neumann entropy of the partial density matrix seen by either observer-with the yield of singlets approaching, for large n, the base-2 entropy of entanglement of the initial partly entangled pure state. Conversely, any pure or mixed entangled state of two systems can be produced by two classically communicating separated observers, drawing on a supply of singlets as their sole source of entanglement.",Concentrating partial entanglement by local operations
890,"The rise time of intense radiation determines the maximum field strength atoms can be exposed to before their polarizability dramatically drops due to the detachment of an outer electron. Recent progress in ultrafast optics has allowed the generation of ultraintense light pulses comprising merely a few field oscillation cycles. The arising intensity gradient allows electrons to survive in their bound atomic state up to external field strengths many times higher than the binding Coulomb field and gives rise to ionization rates comparable to the light frequency, resulting in a significant extension of the frontiers of nonlinear optics and (nonrelativistic) high-field physics. Implications include the generation of coherent harmonic radiation up to kiloelectronvolt photon energies and control of the atomic dipole moment on a subfemtosecond (1 fs=10<SUP>-15</SUP> s) time scale. This review presents the landmarks of the 30-odd-year evolution of ultrashort-pulse laser physics and technology culminating in the generation of intense few-cycle light pulses and discusses the impact of these pulses on high-field physics. Particular emphasis is placed on high-order harmonic emission and single subfemtosecond extreme ultraviolet/x-ray pulse generation. These as well as other strong-field processes are governed directly by the electric-field evolution, and hence their full control requires access to the (absolute) phase of the light carrier. We shall discuss routes to its determination and control, which will, for the first time, allow access to the electromagnetic fields in light waves and control of high-field interactions with never-before-achieved precision.",Intense few-cycle laser fields: Frontiers of nonlinear optics
891,"Since the discovery by Steglich et al. (1979) of superconductivity in the high-effective-mass (~200m<SUB>e</SUB>) electrons in CeCu<SUB>2</SUB>Si<SUB>2</SUB>, the search for and characterization of such ""heavy-fermion"" systems has been a rapidly growing field of study. The eight heavy-fermion systems known to date include superconductors (CeCu<SUB>2</SUB>Si<SUB>2</SUB>, UBe<SUB>13</SUB>, UPt<SUB>3</SUB>), magnets (NpBe<SUB>13</SUB>, U<SUB>2</SUB>Zn<SUB>17</SUB>, UCd<SUB>11</SUB>), and materials in which no ordering is observed (CeAl<SUB>3</SUB>, CeCu<SUB>6</SUB>). These f-electron materials have, in comparison to normal metals, enormous specific heat γ values (450-1600 mJ/mol K<SUP>2</SUP>), large values of the low-temperature magnetic susceptibility χ (8-50×10<SUP>-3</SUP> emu/mol G), maxima in the resistivity at low temperatures with large ρ<SUB></SUB> values (100-200 μΩ cm), and unusual temperature dependences of their specific heats below 10 K. The three heavy-fermion superconductors show such unusual behavior that the possibility of p-wave pairing of the superconducting electrons, rather than the usual BCS s-wave pairing, cannot be ruled out. This paper reviews the experimental results to date, to serve both as a status report and as a starting point for future research. Several correlations between properties are pointed out, including the observation that a low value of the Wilson ratio (~χγ) appears to correlate with the occurrence of superconductivity.",Heavy-fermion systems
892,"In the molecular dynamics simulation method for fluids, the equations of motion for a collection of particles in a fixed volume are solved numerically. The energy, volume, and number of particles are constant for a particular simulation, and it is assumed that time averages of properties of the simulated fluid are equal to microcanonical ensemble averages of the same properties. In some situations, it is desirable to perform simulations of a fluid for particular values of temperature and/or pressure or under conditions in which the energy and volume of the fluid can fluctuate. This paper proposes and discusses three methods for performing molecular dynamics simulations under conditions of constant temperature and/or pressure, rather than constant energy and volume. For these three methods, it is shown that time averages of properties of the simulated fluid are equal to averages over the isoenthalpic-isobaric, canonical, and isothermal-isobaric ensembles. Each method is a way of describing the dynamics of a certain number of particles in a volume element of a fluid while taking into account the influence of surrounding particles in changing the energy and/or density of the simulated volume element. The influence of the surroundings is taken into account without introducing unwanted surface effects. Examples of situations where these methods may be useful are discussed.",Molecular dynamics simulations at constant pressure and/or temperature
893,"A revised method of classification of narrow-line active galaxies and H II region-like galaxies is proposed. It involves the line ratios which take full advantage of the physical distinction between the two types of objects and minimize the effects of reddening correction and errors in the flux calibration. Large sets of internally consistent data are used, including new, previously unpublished measurements. Predictions of recent photoionization models by power-law spectra and by hot stars are compared with the observations. The classification is based on the observational data interpreted on the basis of these models.",Spectral Classification of Emission-Line Galaxies
894,"Recent observations of Type 1a supernovae indicating an accelerating universe have once more drawn attention to the possible existence, at the present epoch, of a small positive Λ-term (cosmological constant). In this paper we review both observational and theoretical aspects of a small cosmological Λ-term. We discuss the current observational situation focusing on cosmological tests of Λ including the age of the universe, high redshift supernovae, gravitational lensing, galaxy clustering and the cosmic microwave background. We also review the theoretical debate surrounding Λ: the generation of Λ in models with spontaneous symmetry breaking and through quantum vacuum polarization effects - mechanisms which are known to give rise to a large value of Λ hence leading to the ``cosmological constant problem.'' More recent attempts to generate a small cosmological constant at the present epoch using either field theoretic techniques, or by modelling a dynamical Λ-term by scalar fields are also extensively discussed. Anthropic arguments favouring a small Λ-term are briefly reviewed. A comprehensive bibliography of recent work on Λ is provided.",The Case for a Positive Cosmological Λ-Term
895,"The author considers the possibility that there is not, in fact, much hidden mass in galaxies and galaxy systems. If a certain modified version of the Newtonian dynamics is used to describe the motion of bodies in a gravitational field (of a galaxy, say), the observational results are reproduced with no need to assume hidden mass in appreciable quantities. Various characteristics of galaxies result with no further assumptions. The basis of the modification is the assumption that in the limit of small acceleration a very low a<SUB>0</SUB>, the acceleration of a particle at distance r from a mass M satisfies approximately a<SUP>2</SUP>/a<SUB>0</SUB> â MGr<SUP>-2</SUP>, where a<SUB>0</SUB> is a constant of the dimensions of an acceleration.",A modification of the Newtonian dynamics as a possible alternative to the hidden mass hypothesis.
896,"The spectrum of density perturbations is calculated in the new-inflationary-universe scenario. The main source is the quantum fluctuations of the Higgs field, which lead to fluctuations in the time at which the false vacuum energy is released. The value of δρρ on any given length scale l, at the time when the Hubble radius 〉〉l, is estimated. This quantity is nearly scale invariant (as desired), but is unfortunately about 10<SUP>5</SUP> times too large.",Fluctuations in the New Inflationary Universe
897,"Neutron stars with unusually strong magnetic dipole fields B_dipole ~ 10^14 - 10^15 G, can form when conditions for efficient helical dynamo action are met during the first few seconds after gravitational collapse. Such high-field neutron stars, ""magnetars,"" initially rotate with short periods ~ 1 ms, but quickly lose most of their rotational energy via magnetic braking, giving a large energy boost to the associated supernova explosion. Several mechanisms unique to magnetars can plausibly generate large (~ 1000 km/s) recoil velocities. These include anisotropic neutrino emission, core rotational instability and fragmentation, and/or anisotropic magnetic winds. Magnetars are relatively difficult to detect because they drop below the radio death line faster than ordinary pulsars, and because they probably do not remain bound in binary systems. We conjecture that their main observational signature is gamma-ray bursts powered by their vast reservoirs of magnetic energy. If they acquire large recoils, most magnetars are unbound from the Galaxy or reside in an extended, weakly bound Galactic corona. There is evidence that the soft gamma repeaters are young magnetars. Finally, we note that a convective dynamo can also generate a very strong dipole field after the merger of a neutron star binary, but only if the merged star survives for as long as ~ 10-100 ms.",Formation of Very Strongly Magnetized Neutron Stars: Implications for Gamma-Ray Bursts
898,"A theoretical analysis of the excitation spectrum of long-chain polyenes is presented. Because of the twofold degeneracy of the ground state of the dimerized chain, elementary excitations corresponding to topological solitons are obtained. The solitons can have three charge states Q=0. +/-e. The neutral soliton has spin one-half while the charged solitons have spin zero. One electronic state is localized at the gap center for each soliton or antisoliton present. The soliton's energy of formation, length, mass, activation energy for motion, and electronic properties are calculated. These results are compared with experiment.",Soliton excitations in polyacetylene
899,"The current understanding of the behavior of quantum chromodynamics at finite temperature is presented. Perturbative methods are used to explore the high-temperature dynamics. At sufficiently high temperatures the plasma of thermal excitations screens all color electric fields and quarks are unconfined. It is believed that the high-temperature theory develops a dynamical mass gap. However in perturbation theory the infrared behavior of magnetic fluctuations is so singular that beyond some order the perturbative expansion breaks down. The topological classification of finite-energy, periodic fields is presented and the classical solutions which minimize the action in each topological sector are examined. These include periodic instantons and magnetic monopoles. At sufficiently high temperature only fields with integral topological charge can contribute to the functional integral. Electric screening completely suppresses the contribution of fields with nonintegral topological charge. Consequently the Î¸ dependence of the free energy at high temperature is dominated by the contribution of instantons. The complete temperature dependence of the instanton density is explicitly computed and large-scale instantons are found to be suppressed. Therefore the effects of instantons may be reliably calculated at sufficiently high temperature. The behavior of the theory in the vicinity of the transition from the high-temperature quark phase to the low-temperature hadronic phase cannot be accurately computed. However, at least in the absence of light quarks, semiclassical techniques and lattice methods may be combined to yield a simple picture of the dynamics valid for both high and low temperature, and to estimate the transition temperature.",QCD and instantons at finite temperature
900,"Although long considered to be of marginal importance to global climate change, tropospheric aerosol contributes substantially to radiative forcing, and anthropogenic sulfate aerosol in particular has imposed a major perturbation to this forcing. Both the direct scattering of short-wavelength solar radiation and the modification of the shortwave reflective properties of clouds by sulfate aerosol particles increase planetary albedo, thereby exerting a cooling influence on the planet. Current climate forcing due to anthropogenic sulfate is estimated to be -1 to -2 watts per square meter, globally averaged. This perturbation is comparable in magnitude to current anthropogenic greenhouse gas forcing but opposite in sign. Thus, the aerosol forcing has likely offset global greenhouse warming to a substantial degree. However, differences in geographical and seasonal distributions of these forcings preclude any simple compensation. Aerosol effects must be taken into account in evaluating anthropogenic influences on past, current, and projected future climate and in formulating policy regarding controls on emission of greenhouse gases and sulfur dioxide. Resolution of such policy issues requires integrated research on the magnitude and geographical distribution of aerosol climate forcing and on the controlling chemical and physical processes.",Climate Forcing by Anthropogenic Aerosols
901,"Candela-class high-brightness InGaN/AlGaN double-heterostructure (DH) blue-light-emitting diodes (LEDs) with the luminous intensity over 1 cd were fabricated. As an active layer, a Zn-doped InGaN layer was used for the DH LEDs. The typical output power was 1500 ÎźW and the external quantum efficiency was as high as 2.7% at a forward current of 20 mA at room temperature. The peak wavelength and the full width at half-maximum of the electroluminescence were 450 and 70 nm, respectively. This value of luminous intensity was the highest ever reported for blue LEDs.",Candela-class high-brightness InGaN/AlGaN double-heterostructure blue-light-emitting diodes
902,"HERWIG is a general-purpose Monte Carlo event generator, which includes the simulation of hard lepton-lepton, lepton-hadron and hadron-hadron scattering and soft hadron-hadron collisions in one package. It uses the parton-shower approach for initial- and final-state QCD radiation, including colour coherence effects and azimuthal correlations both within and between jets. This article updates the description of HERWIG published in 1992, emphasising the new features incorporated since then. These include, in particular, the matching of first-order matrix elements with parton showers, a more correct treatment of heavy quark decays, and a wide range of new processes, including many predicted by the Minimal Supersymmetric Standard Model, with the option of R-parity violation. At the same time we offer a brief review of the physics underlying HERWIG, together with details of the input and control parameters and the output data, to provide a self-contained guide for prospective users of the program.",HERWIG 6: an event generator for hadron emission reactions with interfering gluons (including supersymmetric processes)
903,"Topological insulators are materials with a bulk excitation gap generated by the spin-orbit interaction that are different from conventional insulators. This distinction is characterized by Z<SUB>2</SUB> topological invariants, which characterize the ground state. In two dimensions, there is a single Z<SUB>2</SUB> invariant that distinguishes the ordinary insulator from the quantum spin-Hall phase. In three dimensions, there are four Z<SUB>2</SUB> invariants that distinguish the ordinary insulator from “weak” and “strong” topological insulators. These phases are characterized by the presence of gapless surface (or edge) states. In the two-dimensional quantum spin-Hall phase and the three-dimensional strong topological insulator, these states are robust and are insensitive to weak disorder and interactions. In this paper, we show that the presence of inversion symmetry greatly simplifies the problem of evaluating the Z<SUB>2</SUB> invariants. We show that the invariants can be determined from the knowledge of the parity of the occupied Bloch wave functions at the time-reversal invariant points in the Brillouin zone. Using this approach, we predict a number of specific materials that are strong topological insulators, including the semiconducting alloy Bi<SUB>1-x</SUB>Sb<SUB>x</SUB> as well as α-Sn and HgTe under uniaxial strain. This paper also includes an expanded discussion of our formulation of the topological insulators in both two and three dimensions, as well as implications for experiments.",Topological insulators with inversion symmetry
904,"A method for solving the initial-value problem of the Korteweg-deVries equation is presented which is applicable to initial data that approach a constant sufficiently rapidly as |x|--ăâ. The method can be used to predict exactly the ""solitons,"" or solitary waves, which emerge from arbitrary initial conditions. Solutions that describe any finite number of solitons in interaction can be expressed in closed form.",Method for Solving the Korteweg-deVries Equation
905,"It is shown that charged particles can be accelerated to high energies in astrophysical shock fronts. Fast particles are prevented from streaming away upstream of a shock front by scattering off Alfven waves which they themselves generate. This scattering confines the particles to the region around the shock and results in first-order Fermi acceleration due to the particles crossing the shock many times. The consequent energy spectrum is a power law with an index close to that observed for galactic cosmic rays. The discussion relates to particles which are already relativistic, and their initial acceleration from thermal energies is not considered.",The acceleration of cosmic rays in shock fronts - I.
906,"The recent completion of drilling at Vostok station in East Antarctica has allowed the extension of the ice record of atmospheric composition and climate to the past four glacial-interglacial cycles. The succession of changes through each climate cycle and termination was similar, and atmospheric and climate properties oscillated between stable bounds. Interglacial periods differed in temporal evolution and duration. Atmospheric concentrations of carbon dioxide and methane correlate well with Antarctic air-temperature throughout the record. Present-day atmospheric burdens of these two important greenhouse gases seem to have been unprecedented during the past 420,000 years.","Climate and atmospheric history of the past 420,000 years from the Vostok ice core, Antarctica"
907,"Antiparticles account for a small fraction of cosmic rays and are known to be produced in interactions between cosmic-ray nuclei and atoms in the interstellar medium, which is referred to as a `secondary source'. Positrons might also originate in objects such as pulsars and microquasars or through dark matter annihilation, which would be `primary sources'. Previous statistically limited measurements of the ratio of positron and electron fluxes have been interpreted as evidence for a primary source for the positrons, as has an increase in the total electron+positron flux at energies between 300 and 600GeV (ref. 8). Here we report a measurement of the positron fraction in the energy range 1.5-100GeV. We find that the positron fraction increases sharply over much of that range, in a way that appears to be completely inconsistent with secondary sources. We therefore conclude that a primary source, be it an astrophysical object or dark matter annihilation, is necessary.",An anomalous positron abundance in cosmic rays with energies 1.5-100GeV
908,"A system of photoelectric photometry is outlined which utilines the revised zero point of the visual magnitude scale of the North Polar Sequence and which returus to the original definition for the zero point of color indices in terms of main-sequence stars of class A0; the interval A0-gK0 is 1 mag. The revised Yerkes Atlas system (MK) of spectral classification is taken as standard. The latter is described briefly, and a list of standard stars is included. Magnitudes and color indices from measures in three wave4ength bands are given for stars selected by spectral type and luminosity class to be representative of the principal regions of the H-R diagram. A few white dwarfs are also included. A standard main sequence is defined for the new color-absolute magnitude diagram by the use of stars of large parallax, together with the galactic clusters NGC 2362, the Pleiades, the Ursa Major nucleus, and Praesepe. A standard mnin sequence is also defined for the relationship between the two systems of color index. A purely photometric method for determining spectral types and space reddening for B stars in galactic clusters is described.",Fundamental stellar photometry for standards of spectral type on the Revised System of the Yerkes Spectral Atlas.
909,Correlations of linear polarizations of pairs of photons have been measured with time-varying analyzers. The analyzer in each leg of the apparatus is an acousto-optical switch followed by two linear polarizers. The switches operate at incommensurate frequencies near 50 MHz. Each analyzer amounts to a polarizer which jumps between two orientations in a time short compared with the photon transit time. The results are in good agreement with quantum mechanical predictions but violate Bell's inequalities by 5 standard deviations.,Experimental Test of Bell's Inequalities Using Time- Varying Analyzers
910,Experimental results in the published literature show that at low normal stress the shear stress required to slide one rock over another varies widely between experiments. This is because at low stress rock friction is strongly dependent on surface roughness. At high normal stress that effect is diminished and the friction is nearly independent of rock type. If the sliding surfaces are separated by gouge composed of Montmorillonite or vermiculite the friction can be very low.,Friction of rocks
911,"The leading empirical orthogonal function of the wintertime sea-level pressure field is more strongly coupled to surface air temperature fluctuations over the Eurasian continent than the North Atlantic Oscillation (NAO). It resembles the NAO in many respects; but its primary center of action covers more of the Arctic, giving it a more zonally symmetric appearance. Coupled to strong fluctuations at the 50-hPa level on the intraseasonal, interannual, and interdecadal time scales, this âArctic Oscillationâ (AO) can be interpreted as the surface signature of modulations in the strength of the polar vortex aloft. It is proposed that the zonally asymmetric surface air temperature and mid-tropospheric circulation anomalies observed in association with the AO may be secondary baroclinic features induced by the land-sea contrasts. The same modal structure is mirrored in the pronounced trends in winter and springtime surface air temperature, sea-level pressure, and 50-hPa height over the past 30 years: parts of Eurasia have warmed by as much as several K, sea-level pressure over parts of the Arctic has fallen by 4 hPa, and the core of the lower stratospheric polar vortex has cooled by several K. These trends can be interpreted as the development of a systematic bias in one of the atmosphere's dominant, naturally occurring modes of variability.",The Arctic oscillation signature in the wintertime geopotential height and temperature fields
912,"In high-resolution radio interferometry it is often impossible for practical reasons to arrange for the measured baselines to be regularly distributed. The standard Fourier inversion methods may then produce maps which are seriously confused by the effects of the prominent and extended sidelobe patterns of the corresponding synthesized beam. Some methods which have been proposed for avoiding these difficulties are discussed. In particular, the procedure CLEAN is described in some detail. This has been successfully applied to measurements taken with several different radio telescopes and appears to be the best method available at the time of writing.",Aperture Synthesis with a Non-Regular Distribution of Interferometer Baselines
913,,Characterization of strange attractors
914,"We compute static properties of baryons in an SU(2) Ă SU(2) chiral theory (the Skyrme model) whose solitons can be interpreted as the baryons of QCD. Our results are generally within about 30% of experimental values. We also derive some relations that hold generally in soliton models of baryons, and therefore, serve as tests of the {1}/{N} expansion.",Static properties of nucleons in the Skyrme model
915,"After they have interacted, quantum particles generally behave as a single nonseparable entangled system. The concept of entanglement plays an essential role in quantum physics. We have performed entanglement experiments with Rydberg atoms and microwave photons in a cavity and tested quantum mechanics in situations of increasing complexity. Entanglement resulted either from a resonant exchange of energy between atoms and the cavity field or from dispersive energy shifts affecting atoms and photons when they were not resonant. With two entangled particles (two atoms or one atom and a photon), we have realized new versions of the Einstein-Podolsky-Rosen situation. The detection of one particle projected the other, at a distance, in a correlated state. This process could be viewed as an elementary measurement, one particle being a ``meter'' measuring the other. We have performed a ``quantum nondemolition'' measurement of a single photon, which we detected repeatedly without destroying it. Entanglement is also essential to understand decoherence, the process accounting for the classical appearance of the macroscopic world. A mesoscopic superposition of states (``Schrรถdinger cat'') gets rapidly entangled with its environment, losing its quantum coherence. We have prepared a Schrรถdinger cat made of a few photons and studied the dynamics of its decoherence, in an experiment which constitutes a glimpse at the quantum/classical boundary. We have also investigated entanglement as a resource for the processing of quantum information. By using quantum two-state systems (qubits) instead of classical bits of information, one can perform logical operations exploiting quantum interferences and taking advantage of the properties of entanglement. Manipulating as qubits atoms and photons in a cavity, we have operated a quantum gate and applied it to the generation of a complex three-particle entangled state. We finally discuss the perspectives opened by these experiments for further fundamental studies.",Manipulating quantum entanglement with atoms and photons in a cavity
916,"Iterative algorithms for phase retrieval from intensity data are compared to gradient search methods. Both the problem of phase retrieval from two intensity measurements (in electron microscopy or wave front sensing) and the problem of phase retrieval from a single intensity measurement plus a non-negativity constraint (in astronomy) are considered, with emphasis on the latter. It is shown that both the error-reduction algorithm for the problem of a single intensity measurement and the Gerchberg-Saxton algorithm for the problem of two intensity measurements converge. The error-reduction algorithm is also shown to be closely related to the steepest-descent method. Other algorithms, including the input-output algorithm and the conjugate-gradient method, are shown to converge in practice much faster than the error-reduction algorithm. Examples are shown.",Phase retrieval algorithms: a comparison
917,"A more accurate solution of the model (of an s-band of interacting electrons) discussed in paper I is obtained. The new solution predicts a finite lifetime for the pseudo-particles and also the 'Mott' insulator-conductor transition. A physical interpretation of the theory based upon an analogy with the theory of alloys is given, and a special case in which the predictions of the theory can be worked out in some detail is studied.",Electron Correlations in Narrow Energy Bands. III. An Improved Solution
918,,Cenozoic Tectonics of Asia: Effects of a Continental Collision
919,"The one-dimensional molecular-crystal model of polaron motion, described in the preceding paper, is here analyzed for the case in which the electronic-overlap term of the total Hamiltonian is a small perturbation. In zeroth order —i.e., in the absence of this term—the electron is localized at a given site, p. The vibrational state of the system is specified by a set of quantum-numbers, N<SUB>k</SUB>, giving the degree of excitation of each vibration-mode; the latter differ from the conventional modes in that in each of them, the equilibrium displacement, about which the system oscillates, depends upon the location of the electron. The presence of a nonvanishing electronic-overlap term gives rise to transitions in which the electron jumps to a neighboring site ( p → p ± 1), and in which either all of the N<SUB>k</SUB> remain unaltered (""diagonal"" transitions) or in which some of them change by ±1 (""nondiagonal"" transitions). The two types of transitions play fundamentally different roles. At sufficiently low temperatures, the diagonal transitions are dominant. They give rise to the formation of Bloch-type bands whose widths (see Eq. 37) are each given by the product of the electronic-overlap integral, and a vibrational overlap-integral, the latter being an exponentially falling function of the N<SUB>k</SUB> (and, hence, of temperature). In this low-temperature domain, the role of the nondiagonal transitions is essentially one of scattering. In the absence of other scattering mechanisms, such as impurity scattering, they determine the lifetimes of the polaron-band states and, hence, the mean free path for typical transport quantities, such as electron diffusivity. With rising temperature, the probability of the off-diagonal transitions goes up exponentially. This feature, together with the above-mentioned drop in bandwidth, results, e.g., in an exponentially diminishing diffusivity. Eventually, a temperature, T <SUB>t</SUB> ̃ 1/2 the Debye θ, is reached at which the energy uncertainty, h̷/gt, associated with the finite lifetime of the states, is equal to the bandwidth. At this point, the Bloch states lose their individual characteristics (in particular, those which depend upon electronic wave number); the bands may then be considered as ""washed out"". For temperatures 〉 T<SUB>t</SUB>, electron motion is predominantly a diffusion process. The elementary steps of this process consist of the random-jumps between neighboring sites associated with the nondiagonal transitions. In conformance with this picture, the electron diffusivity is, apart from a numerical factor, the product of the square of the lattice distance and the total non-diagonal transition probability, and is therefore an exponentially rising function of temperature. The limit, J<SUB>max</SUB>, of the magnitude of the electronic overlap term, beyond which the perturbation treatment of the present paper becomes inapplicable, is investigated. For representative values of the parameters entering into the theory, J<SUB>max</SUB> ̃ 0.12 ev and 0.035 ev for the extreme cases of (a) width of the ground-state polaron-band and (b) high-temperature site-jump probabilities (these numbers correspond to electronic bandwidths of 0.24 ev and 0.07 ev, respectively). For electronic bandwidths in excess of these limits, a treatment based on the adiabatic approach is required; preliminary results of such a treatment are given for the above two cases.","Studies of polaron motion : Part II. The ""small"" polaron"
920,,"Principles of Optics Electromagnetic Theory of Propagation, Interference and Diffraction of Light"
921,We derive the one loop mixing matrix for anomalous dimensions in N=4 Super Yang-Mills. We show that this matrix can be identified with the Hamiltonian of an integrable SO(6) spin chain with vector sites. We then use the Bethe ansatz to find a recipe for computing anomalous dimensions for a wide range of operators. We give exact results for BMN operators with two impurities and results up to and including first order 1/J corrections for BMN operators with many impurities. We then use a result of Reshetikhin's to find the exact one-loop anomalous dimension for an SO(6) singlet in the limit of large bare dimension. We also show that this last anomalous dimension is proportional to the square root of the string level in the weak coupling limit.,The Bethe-ansatz for Script N = 4 super Yang-Mills
922,"A computer program which simulates Rutherford backscattering spectra is currently in use at Cornell University and other institutions. Straggling and detector resolution are among the effects included. Samples are considered to be made up of a finite number of layers, each with uniform composition. The emphasis in the mathematics is on accuracy beyond that of iterated surface approximation methods. Thicker layers can thus be analyzed without a net loss in accuracy. The mathematical description of the sample can then have fewer layers and fewer calculations are required. This paper provides estimates of the number of arithmetic operations used by the program for any simulation to demonstrate the tradeoffs between accuracy, computation time, and algorithm sophistication.",Algorithms for the rapid simulation of Rutherford backscattering spectra
923,,"Broken symmetries, massless particlees and gauge fields"
924,"A gas of one-dimensional Bose particles interacting via a repulsive delta-function potential has been solved exactly. All the eigenfunctions can be found explicitly and the energies are given by the solutions of a transcendental equation. The problem has one nontrivial coupling constant, γ. When γ is small, Bogoliubov's perturbation theory is seen to be valid. In this paper, we explicitly calculate the ground-state energy as a function of γ and show that it is analytic for all γ, except γ=0. In Part II, we discuss the excitation spectrum and show that it is most convenient to regard it as a double spectrum-not one as is ordinarily supposed.",Exact Analysis of an Interacting Bose Gas. I. The General Solution and the Ground State
925,"Research into terahertz technology is now receiving increasing attention around the world, and devices exploiting this waveband are set to become increasingly important in a very diverse range of applications. Here, an overview of the status of the technology, its uses and its future prospects are presented.",Cutting-edge terahertz technology
926,"Hartree-Fock calculations for spherical nuclei using Skyrme's density-dependent effective nucleon-nucleon interaction are discussed systematically. Skyrme's interaction is described and the general formula for the mean energy of a spherical nucleus derived. Hartree-Fock equations are obtained by varying the mean energy with respect to the single-particle wave functions of occupied states. Relations between the parameters of the Skyrme force and various general properties of nuclear matter and finite nuclei are analyzed. Calculations have been made for closed-shell nuclei using two rather different sets of parameters, both of which give good binding energies and radii for <SUP>16</SUP>O and <SUP>208</SUP>Pb. Both interactions give good binding energies and charge radii for all closed-shell nuclei. Calculated electron scattering angular distributions agree qualitatively with experiment, and for one interaction there is good quantitative agreement. The single-particle energies calculated with the two interactions are somewhat different owing to a different nonlocality of the Hartree-Fock potentials, but both interactions give the correct order and density of single-particle levels near the Fermi level. They differ most strongly in their predictions for the energies of 1s single-particle states.",Hartree-Fock Calculations with Skyrme's Interaction. I. Spherical Nuclei
927,"Since 65 million years ago (Ma), Earth's climate has undergone a significant and complex evolution, the finer details of which are now coming to light through investigations of deep-sea sediment cores. This evolution includes gradual trends of warming and cooling driven by tectonic processes on time scales of 10<SUP>5</SUP> to 10<SUP>7</SUP> years, rhythmic or periodic cycles driven by orbital processes with 10<SUP>4</SUP>- to 10<SUP>6</SUP>-year cyclicity, and rare rapid aberrant shifts and extreme climate transients with durations of 10<SUP>3</SUP> to 10<SUP>5</SUP> years. Here, recent progress in defining the evolution of global climate over the Cenozoic Era is reviewed. We focus primarily on the periodic and anomalous components of variability over the early portion of this era, as constrained by the latest generation of deep-sea isotope records. We also consider how this improved perspective has led to the recognition of previously unforeseen mechanisms for altering climate.","Trends, Rhythms, and Aberrations in Global Climate 65 Ma to Present"
